date month year variable value units
3/1/1936 3 1936 TLG 0.20753 MAF
4/1/1936 4 1936 TLG 0.39294 MAF
5/1/1936 5 1936 TLG 0.52023 MAF
6/1/1936 6 1936 TLG 0.39022 MAF
7/1/1936 7 1936 TLG 0.12245 MAF
8/1/1936 8 1936 TLG 0.01781 MAF
9/1/1936 9 1936 TLG 0.00292 MAF
10/1/1936 10 1936 TLG 0.00432 MAF
11/1/1936 11 1936 TLG 0.00861 MAF
12/1/1936 12 1936 TLG 0.02732 MAF
1/1/1937 1 1937 TLG 0.03143 MAF
2/1/1937 2 1937 TLG 0.2739 MAF
3/1/1937 3 1937 TLG 0.20951 MAF
4/1/1937 4 1937 TLG 0.2956 MAF
5/1/1937 5 1937 TLG 0.6339 MAF
6/1/1937 6 1937 TLG 0.39941 MAF
7/1/1937 7 1937 TLG 0.09136 MAF
8/1/1937 8 1937 TLG 0.01685 MAF
9/1/1937 9 1937 TLG 0.0048 MAF
10/1/1937 10 1937 TLG 0.00915 MAF
11/1/1937 11 1937 TLG 0.01876 MAF
12/1/1937 12 1937 TLG 0.31256 MAF
1/1/1938 1 1938 TLG 0.10194 MAF
2/1/1938 2 1938 TLG 0.32274 MAF
3/1/1938 3 1938 TLG 0.42484 MAF
4/1/1938 4 1938 TLG 0.42238 MAF
5/1/1938 5 1938 TLG 0.72016 MAF
6/1/1938 6 1938 TLG 0.7116 MAF
7/1/1938 7 1938 TLG 0.30519 MAF
8/1/1938 8 1938 TLG 0.05547 MAF
9/1/1938 9 1938 TLG 0.01954 MAF
10/1/1938 10 1938 TLG 0.04025 MAF
11/1/1938 11 1938 TLG 0.04349 MAF
12/1/1938 12 1938 TLG 0.03672 MAF
1/1/1939 1 1939 TLG 0.04259 MAF
2/1/1939 2 1939 TLG 0.05992 MAF
3/1/1939 3 1939 TLG 0.14411 MAF
4/1/1939 4 1939 TLG 0.2819 MAF
5/1/1939 5 1939 TLG 0.21604 MAF
6/1/1939 6 1939 TLG 0.07434 MAF
7/1/1939 7 1939 TLG 0.01734 MAF
8/1/1939 8 1939 TLG 0.00748 MAF
9/1/1939 9 1939 TLG 0.01683 MAF
10/1/1939 10 1939 TLG 0.04494 MAF
11/1/1939 11 1939 TLG 0.01662 MAF
12/1/1939 12 1939 TLG 0.02025 MAF
1/1/1940 1 1940 TLG 0.22649 MAF
